,Year,Month,Incident Zip,Sanitation_related,Neighborhood_related,House_related,Pollution_related,Other_related
0,2015,1,10000,2,2,2,2,2
1,2015,1,10001,694,694,694,694,694
2,2015,1,10002,1470,1470,1470,1470,1470
3,2015,1,10003,960,960,960,960,960
4,2015,1,10004,156,156,156,156,156
5,2015,1,10005,140,140,140,140,140
6,2015,1,10006,71,71,71,71,71
7,2015,1,10007,225,225,225,225,225
8,2015,1,10009,1008,1008,1008,1008,1008
9,2015,1,10010,505,505,505,505,505
10,2015,1,10011,1194,1194,1194,1194,1194
11,2015,1,10012,655,655,655,655,655
12,2015,1,10013,623,623,623,623,623
13,2015,1,10014,773,773,773,773,773
14,2015,1,10016,871,871,871,871,871
15,2015,1,10017,518,518,518,518,518
16,2015,1,10018,323,323,323,323,323
17,2015,1,10019,1067,1067,1067,1067,1067
18,2015,1,10020,7,7,7,7,7
19,2015,1,10021,515,515,515,515,515
20,2015,1,10022,619,619,619,619,619
21,2015,1,10023,685,685,685,685,685
22,2015,1,10024,889,889,889,889,889
23,2015,1,10025,1508,1508,1508,1508,1508
24,2015,1,10026,886,886,886,886,886
25,2015,1,10027,1533,1533,1533,1533,1533
26,2015,1,10028,753,753,753,753,753
27,2015,1,10029,1795,1795,1795,1795,1795
28,2015,1,10030,994,994,994,994,994
29,2015,1,10031,2040,2040,2040,2040,2040
30,2015,1,10032,2233,2233,2233,2233,2233
31,2015,1,10033,1659,1659,1659,1659,1659
32,2015,1,10034,1642,1642,1642,1642,1642
33,2015,1,10035,807,807,807,807,807
34,2015,1,10036,883,883,883,883,883
35,2015,1,10037,424,424,424,424,424
36,2015,1,10038,350,350,350,350,350
37,2015,1,10039,628,628,628,628,628
38,2015,1,10040,2325,2325,2325,2325,2325
39,2015,1,10041,5,5,5,5,5
40,2015,1,10044,28,28,28,28,28
41,2015,1,10065,516,516,516,516,516
42,2015,1,10069,20,20,20,20,20
43,2015,1,10075,320,320,320,320,320
44,2015,1,10103,4,4,4,4,4
45,2015,1,10112,3,3,3,3,3
46,2015,1,10119,1,1,1,1,1
47,2015,1,10123,4,4,4,4,4
48,2015,1,10128,684,684,684,684,684
49,2015,1,10129,2,2,2,2,2
50,2015,1,10153,2,2,2,2,2
51,2015,1,10162,2,2,2,2,2
52,2015,1,10165,1,1,1,1,1
53,2015,1,10280,17,17,17,17,17
54,2015,1,10281,4,4,4,4,4
55,2015,1,10282,9,9,9,9,9
56,2015,1,10301,767,767,767,767,767
57,2015,1,10302,380,380,380,380,380
58,2015,1,10303,442,442,442,442,442
59,2015,1,10304,739,739,739,739,739
60,2015,1,10305,611,611,611,611,611
61,2015,1,10306,796,796,796,796,796
62,2015,1,10307,180,180,180,180,180
63,2015,1,10308,337,337,337,337,337
64,2015,1,10309,376,376,376,376,376
65,2015,1,10310,472,472,472,472,472
66,2015,1,10312,727,727,727,727,727
67,2015,1,10314,982,982,982,982,982
68,2015,1,10451,1083,1083,1083,1083,1083
69,2015,1,10452,2385,2385,2385,2385,2385
70,2015,1,10453,3147,3147,3147,3147,3147
71,2015,1,10454,743,743,743,743,743
72,2015,1,10455,915,915,915,915,915
73,2015,1,10456,2460,2460,2460,2460,2460
74,2015,1,10457,2381,2381,2381,2381,2381
75,2015,1,10458,3287,3287,3287,3287,3287
76,2015,1,10459,1367,1367,1367,1367,1367
77,2015,1,10460,1701,1701,1701,1701,1701
78,2015,1,10461,1097,1097,1097,1097,1097
79,2015,1,10462,1905,1905,1905,1905,1905
80,2015,1,10463,2031,2031,2031,2031,2031
81,2015,1,10464,260,260,260,260,260
82,2015,1,10465,749,749,749,749,749
83,2015,1,10466,1699,1699,1699,1699,1699
84,2015,1,10467,3415,3415,3415,3415,3415
85,2015,1,10468,3112,3112,3112,3112,3112
86,2015,1,10469,1066,1066,1066,1066,1066
87,2015,1,10470,507,507,507,507,507
88,2015,1,10471,328,328,328,328,328
89,2015,1,10472,1844,1844,1844,1844,1844
90,2015,1,10473,728,728,728,728,728
91,2015,1,10474,532,532,532,532,532
92,2015,1,10475,175,175,175,175,175
93,2015,1,10803,1,1,1,1,1
94,2015,1,11001,32,32,32,32,32
95,2015,1,11004,151,151,151,151,151
96,2015,1,11005,2,2,2,2,2
97,2015,1,11040,36,36,36,36,36
98,2015,1,11101,865,865,865,865,865
99,2015,1,11102,638,638,638,638,638
100,2015,1,11103,796,796,796,796,796
101,2015,1,11104,477,477,477,477,477
102,2015,1,11105,651,651,651,651,651
103,2015,1,11106,692,692,692,692,692
104,2015,1,11109,9,9,9,9,9
105,2015,1,11201,976,976,976,976,976
106,2015,1,11203,1730,1730,1730,1730,1730
107,2015,1,11204,1157,1157,1157,1157,1157
108,2015,1,11205,948,948,948,948,948
109,2015,1,11206,1629,1629,1629,1629,1629
110,2015,1,11207,2280,2280,2280,2280,2280
111,2015,1,11208,1872,1872,1872,1872,1872
112,2015,1,11209,1315,1315,1315,1315,1315
