,Year,Month,BORO_NM,LAW_CAT_FELONY,LAW_CAT_MISDEMEANOR,LAW_CAT_VIOLATION
0,2015,1,BRONX,2184,4281,863
1,2015,1,BROOKLYN,3667,5314,1460
2,2015,1,MANHATTAN,2673,4608,874
3,2015,1,QUEENS,2524,3655,875
4,2015,1,STATEN ISLAND,400,851,305
5,2015,2,BRONX,1934,4095,789
6,2015,2,BROOKLYN,3083,4775,1249
7,2015,2,MANHATTAN,2445,4449,835
8,2015,2,QUEENS,2268,3419,836
9,2015,2,STATEN ISLAND,316,771,276
10,2015,3,BRONX,2293,4964,971
11,2015,3,BROOKLYN,3616,6206,1596
12,2015,3,MANHATTAN,2730,5244,988
13,2015,3,QUEENS,2431,4071,985
14,2015,3,STATEN ISLAND,468,1111,353
15,2015,4,(null),0,2,0
16,2015,4,BRONX,2343,5177,1079
17,2015,4,BROOKLYN,3860,6484,1552
18,2015,4,MANHATTAN,2874,5718,1037
19,2015,4,QUEENS,2596,4335,985
20,2015,4,STATEN ISLAND,417,1045,342
21,2015,5,BRONX,2516,5638,1196
22,2015,5,BROOKLYN,4143,6890,1803
23,2015,5,MANHATTAN,2894,5717,1213
24,2015,5,QUEENS,2716,4491,1102
25,2015,5,STATEN ISLAND,440,1170,392
26,2015,6,BRONX,2373,5340,1191
27,2015,6,BROOKLYN,4115,6808,1800
28,2015,6,MANHATTAN,2891,5736,1176
29,2015,6,QUEENS,2615,4572,1100
30,2015,6,STATEN ISLAND,477,1090,379
31,2015,7,BRONX,2773,5749,1261
32,2015,7,BROOKLYN,4358,7083,1856
33,2015,7,MANHATTAN,3330,5996,1157
34,2015,7,QUEENS,2881,4657,1242
35,2015,7,STATEN ISLAND,454,1149,433
36,2015,8,(null),0,0,1
37,2015,8,BRONX,2966,5928,1263
38,2015,8,BROOKLYN,4610,7186,1912
39,2015,8,MANHATTAN,3315,5860,1202
40,2015,8,QUEENS,2920,4737,1178
41,2015,8,STATEN ISLAND,475,1159,388
42,2015,9,BRONX,2781,5507,1290
43,2015,9,BROOKLYN,4186,6478,1777
44,2015,9,MANHATTAN,3263,5584,1091
45,2015,9,QUEENS,2773,4135,1185
46,2015,9,STATEN ISLAND,446,1049,395
47,2015,10,(null),1,0,0
48,2015,10,BRONX,2715,5319,1183
49,2015,10,BROOKLYN,4263,6090,1750
50,2015,10,MANHATTAN,3167,5556,1118
51,2015,10,QUEENS,2823,4255,1054
